theta0,theta1
8410.374991007708,-0.02076039644387975
8413.192655951863,-0.020781845243292674
8415.92134060354,-0.02080263338065543
8418.563854911074,-0.02082278077872802
8421.122920086487,-0.020842306784166677
8423.601171407241,-0.020861230182718342
8426.001160930078,-0.020879569214113932
8428.325360119503,-0.020897341586653035
8430.576162392103,-0.020914564491463637
8432.755885581815,-0.020931254616468355
8434.866774326943,-0.02094742816004047
8436.911002381084,-0.020963100844346237
8438.890674851827,-0.020978287928392323
8440.807830368822,-0.02099300422077488
8442.664443182728,-0.021007264092128317
8444.462425198595,-0.02102108148727779
8446.203627944507,-0.021034469937111645
8447.889844478419,-0.021047442570161543
8449.52281123417,-0.021060012123898013
8451.104209810295,-0.021072190955759584
8452.635668701301,-0.021083991053898334
8454.118764974557,-0.02109542404765698
8455.55502589491,-0.021106501217792045
8456.945930496684,-0.021117233506422025
8458.29291110707,-0.02112763152673293
8459.597354821432,-0.021137705572429402
8460.86060493131,-0.021147465626938776
8462.083962307934,-0.021156921372375504
8463.268686741349,-0.021166082198266083
8464.4159982385,-0.02117495721005039
8465.527078279129,-0.021183555237352672
8466.603071032583,-0.021191884842027192
8467.64508453574,-0.021199954325989846
8468.654191834408,-0.021207771738841325
8469.631432088176,-0.021215344885275683
8470.577811640724,-0.02122268133229489
8471.494305055652,-0.021229788416216016
8472.381856120548,-0.021236673249489243
8473.241378818773,-0.02124334272733231
8474.073758270406,-0.02124980353416698
8474.87985164408,-0.021256062149890346
8475.660489039648,-0.021262124855961045
8476.41647434257,-0.0212679977413136
8477.14858605217,-0.021273686708113568
8477.857578083182,-0.021279197477342103
8478.544180542223,-0.021284535594225707
8479.209100479484,-0.021289706433508797
8479.853022616866,-0.02129471520457321
8480.476610053272,-0.02129956695641919
8481.080504947075,-0.0213042665824939
8481.665329177993,-0.021308818825387495
8482.231684986611,-0.02131322828138134
8482.780155595567,-0.021317499404885188
8483.311305809639,-0.021321636512725794
8483.825682596918,-0.021325643788317465
8484.323815653119,-0.02132952528571277
8484.806217946014,-0.021333284933533102
8485.273386244355,-0.02133692653878114
8485.725801629207,-0.021340453790546388
8486.16392998941,-0.021343870263598706
8486.588222501154,-0.021347179421871684
8486.99911609272,-0.021350384621849093
8487.397033894575,-0.02135348911585123
8487.782385674975,-0.021356496055219252
